tree_id_new,tree_id_old,site_id,plot_id,spp,dist_m,az_deg,dec_deg,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,broom_stem,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,outside_10,assessed_by,notes
m118,w25,ph_1,37,Hw,5.3,304.9,,LS,38.8,27.3,Y,Y,2,0,0,Y,8,Y,C,,,,,1,,,
m119,w67,ph_1,37,Hw,4.2,288.2,,LS,34.8,,Y,Y,2,2,1,Y,7,Y,C,,,1,,1,,,
m120,w68,ph_1,37,Hw,2.3,278.2,,SN,14.5,,Y,-,-,-,-,-,-,-,-,,,,,3,,,
m121,w70,ph_1,37,Hw,5.8,329.8,,LS,43.9,,Y,Y,1,0,0,Y,8,N,C,,,,,1,,,
m122,w61,ph_1,37,Hw,7.4,340.6,,LS,14.1,,Y,N,1,1,0,Y,4,N,S,,,,,2,,,
m123,w108,ph_1,37,Hw,6.4,346.2,,LS,19.9,,Y,N,0,0,1,Y,3,N,I,,,5,,1,,,
m124,w66,ph_1,37,Hw,5.6,344.5,,LS,31,,N,-,-,-,-,-,-,-,C,DS,,2,,1,,,Stem pustules
m125,w103,ph_1,37,Hw,2.7,26.4,,LS,44.2,,Y,Y,1,0,0,Y,1,N,C,,,-,,1,,,
m126,w115,ph_1,37,Hw,2.3,90.7,,LS,52.8,34.2,Y,Y,0,0,0,N,-,N,D,,,-,,1,,,
m127,w105,ph_1,37,Hw,0.9,98.5,,LS,24,,Y,Y,0,0,0,N,-,N,I,,,1,,1,,,
m128,w110,ph_1,37,Hw,3.5,141,,SN,9.5,,N,-,-,-,-,-,-,-,-,,,,,4,,,
m129,w75,ph_1,37,Hw,5.9,133.7,,LS,17.8,,Y,N,0,1,0,N,-,-,I,,,,,1,,,
m130,w32,ph_1,37,Hw,6.3,137.7,,LS,10.1,,N,-,-,-,-,-,-,-,S,,,,,1,,,
m131,w13,ph_1,37,Hw,9.7,133,,LS,16.4,,N,-,-,-,-,-,-,-,I,,,,,1,,,
m132,w107,ph_1,37,Hw,9.6,117.1,,LS,23.9,,Y,N,1,1,0,N,-,N,I,,,,,1,,,
m133,w26,ph_1,37,Hw,7.8,114.2,,LS,43.8,,Y,Y,0,0,0,Y,8,N,C,,,,,1,,,
m134,w11,ph_1,37,Hw,8.3,144.3,,LS,23.4,,N,-,-,-,-,-,-,-,I,DS,,,,1,,,stem pustules
m135,w56,ph_1,37,Hw,8.8,143.3,,RD,13.2,,Y,-,1,1,1,N,-,N,-,DS,,,,3,,,stem pustules
m136,w125,ph_1,37,Hw,7.7,153,,LS,39.6,,N,-,-,-,-,-,-,-,C,DS,,,,1,,,stem pustules
m137,w40,ph_1,37,Hw,6.3,156.8,,LS,15.7,,N,-,-,-,-,-,-,-,S,,,,,1,,,
m138,w116,ph_1,37,Hw,4.8,178.3,,SN,16.3,,Y,-,-,-,-,-,-,-,-,,,,,2,,,
m139,w28,ph_1,37,Hw,8.5,180.5,,LS,40.5,22.5,Y,Y,0,0,0,Y,8,N,C,,,,,1,,,
m140,y39,ph_1,38,Hw,3.8,242,,LS,35,25,Y,Y,0,0,0,N,-,Y,C,,,,,1,,,Big stem infection at base
m141,y121,ph_1,38,Hw,4,250.9,,LS,19.8,,Y,N,0,1,0,N,-,N,I,,,1,,1,,,
m142,y62,ph_1,38,Hw,1.4,230.6,,LS,25.7,,Y,Y,1,0,0,N,-,N,C,,,,,1,,,
m143,y54,ph_1,38,Hw,2.3,329.2,,LS,34.8,22.2,Y,Y,1,1,0,Y,1,N,C,,,,,1,,,
m144,y47,ph_1,38,Hw,3.4,346.3,,LS,16.2,,Y,Y,0,0,0,N,-,N,I,,,,,2,,,
m145,y61,ph_1,38,Hw,4.6,327.4,,LS,22.3,,Y,Y,2,1,1,Y,4,Y,I,,,,,1,,,
m146,y23,ph_1,38,Hw,5.5,309.9,,LS,24.1,,Y,Y,0,0,0,N,-,N,I,DS,,,,1,,,stem pustules
m147,y120,ph_1,38,Hw,6,313.8,,LS,32.9,,Y,N,0,1,0,N,-,N,C,,,,,1,,,forked with m148
m148,y27,ph_1,38,Hw,6,313.8,,LS,34.5,,Y,N,1,1,0,Y,4,N,C,,,,,1,,,forked with m147
m149,y130,ph_1,38,Hw,2.7,22.9,,LS,31.7,,Y,Y,2,1,1,Y,8,N,I,,,,,1,,,
m150,y31,ph_1,38,Hw,7.2,2,,LS,22.7,,Y,N,2,0,0,Y,1,N,I,,,,,1,,,
m151,y8,ph_1,38,Hw,4.5,27.9,,LS,55.5,33.2,Y,Y,2,2,2,Y,7,Y,D,,,,,1,,,
m152,y109,ph_1,38,Hw,3.4,58.4,,RD,16.9,,Y,N,1,0,0,N,-,N,-,,,,,3,,,
m153,y11,ph_1,38,Hw,3.2,47,,LS,20.1,,Y,Y,2,2,2,Y,7,Y,I,,,1,,1,,,
m154,y57,ph_1,38,Hw,3.2,79,,LS,46.7,,Y,Y,2,1,0,Y,4,Y,C,,,-,,1,,,
m155,y68,ph_1,38,Hw,1.4,119.2,,LS,20.8,,N,-,-,-,-,-,-,-,I,,,1,,1,,,
m156,y18,ph_1,38,Hw,4.4,170,,LS,35.9,26.2,N,-,-,-,-,-,-,-,C,,,-,,1,,,
m157,y49,ph_1,38,Hw,4.6,203,,LS,21.7,,N,-,-,-,-,-,-,-,I,,,1,,1,,,
m158,w124,ph_1,39,Hw,4.1,299.1,,LL,21,,N,-,-,-,-,-,-,-,S,,,1,,1,,,
m159,w69,ph_1,39,Hw,3.3,277.9,,RD,9.7,,Y,-,1,0,0,N,-,N,-,,,-,,3,,,
m160,w47,ph_1,39,Hw,4.7,309.2,,LS,18.3,,Y,Y,1,1,1,Y,2,N,S,,,1,,1,,,
m161,w45,ph_1,39,Hw,5,314.4,,SN,65,,-,-,-,-,-,-,-,-,-,,,-,,6,,,
m162,w35,ph_1,39,Hw,4.8,352.6,,LS,38.2,,Y,Y,2,0,0,Y,1,N,C,,,-,,1,,,
m163,w109,ph_1,39,Hw,4.8,11.5,,LS,11.5,,N,-,-,-,-,-,-,-,S,DS,,7,,1,,,Stem pustules
